age,total_view,total_click,total_cart,total_wishlist,click_through_rate,cart_rate,unique_brands,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,wishlist_to_view_ratio,active_engagement_ratio,category_commitment_score,exploration_score,engagement_depth_score,brand_loyalty_score,wishlist_to_cart_ratio,click_engagement_rate,value_per_click,category_breadth_score,rating_concentration,repurchase
22,9,7,2,6,0.7778,0.2857,1,19.43,287000,4.6,9,0.0702,0.6,0.36,1.6848,0.3333333333333333,2.4,1.0,2.0,0.9,35875.0,4.5,0.32292,0
22,4,1,3,1,0.25,3.0,1,10.81,0,4.0,9,0.0253,0.2,0.4,0.22769999999999999,0.25,0.9,1.5,0.25,0.8,0.0,4.5,0.1012,0
22,13,7,5,3,0.5385,0.7143,5,8.19,1677000,4.4,9,0.0815,0.21428571428571427,0.41379310344827586,2.282,0.8333333333333334,2.8,0.8333333333333334,0.5,0.8571428571428571,209625.0,1.5,0.35860000000000003,0
22,42,32,19,4,0.7619,0.5938,7,5.71,525000,4.0,9,0.3034,0.09302325581395349,0.5204081632653061,29.4298,0.35,9.7,2.375,0.2,1.186046511627907,15909.09090909091,1.125,1.2136,1
22,7,5,2,3,0.7143,0.4,4,23.34,820000,4.8,9,0.0562,0.375,0.3888888888888889,0.9554,1.3333333333333333,1.7,0.4,1.0,0.875,136666.66666666666,1.8,0.26976,0
22,36,25,16,19,0.6944,0.64,7,5.74,16454000,4.7,9,0.2949,0.5135135135135135,0.422680412371134,28.3104,0.4117647058823529,9.6,2.0,1.1176470588235294,1.1081081081081081,632846.1538461539,1.125,1.38603,1
22,4,3,3,7,0.75,1.0,1,7.49,2858000,3.4,9,0.0534,1.4,0.3333333333333333,0.9078,0.25,1.7,1.5,1.75,1.2,714500.0,4.5,0.18156,0
22,15,5,4,5,0.3333,0.8,7,10.82,2335000,4.0,9,0.0843,0.3125,0.3,2.4447,1.4,2.9,0.5,1.0,0.5625,389166.6666666667,1.125,0.3372,0
20,13,5,2,16,0.3846,0.4,6,18.49,2843000,4.4,5,0.3964,1.1428571428571428,0.1891891891891892,14.270399999999999,2.0,6.0,0.2857142857142857,5.333333333333333,0.5,473833.3333333333,0.7142857142857143,1.74416,1
20,0,0,3,3,0.0,0.0,5,17.85,2875000,4.8,5,0.0811,3.0,0.42857142857142855,0.48660000000000003,1.25,1.0,0.5,0.75,3.0,2875000.0,0.8333333333333334,0.38928,0
20,6,4,1,4,0.6667,0.25,2,10.16,181000,3.7,5,0.1532,0.5714285714285714,0.3125,2.298,1.0,2.5,0.3333333333333333,2.0,0.7142857142857143,36200.0,1.6666666666666667,0.56684,0
20,3,1,2,3,0.3333,2.0,1,11.02,852000,4.0,5,0.0901,0.75,0.3,0.8109,0.3333333333333333,1.5,1.0,1.0,0.75,426000.0,2.5,0.3604,0
20,11,4,4,8,0.3636,1.0,1,23.72,2199000,3.4,5,0.2793,0.6666666666666666,0.2857142857142857,7.5411,0.2,4.5,2.0,1.6,0.6666666666666666,439800.0,2.5,0.9496199999999999,0
19,8,5,1,3,0.625,0.2,4,11.24,0,3.6,14,0.0417,0.3333333333333333,0.3333333333333333,0.7089,2.0,1.1333333333333333,0.2,1.5,0.6666666666666666,0.0,2.8,0.15012,0
19,5,2,3,9,0.4,1.5,2,2.28,287000,4.0,14,0.0637,1.5,0.25,1.2103000000000002,0.5,1.2666666666666666,1.0,2.25,0.8333333333333334,95666.66666666667,4.666666666666667,0.2548,1
19,5,2,2,5,0.4,1.0,4,30.53,367000,4.1,14,0.0417,0.8333333333333334,0.26666666666666666,0.5838,1.3333333333333333,0.9333333333333333,0.4,1.6666666666666667,0.6666666666666666,122333.33333333333,2.8,0.17096999999999998,0
19,34,21,13,5,0.6176,0.619,5,12.87,27000,3.7,14,0.1961,0.14285714285714285,0.4594594594594595,14.3153,0.35714285714285715,4.866666666666666,2.1666666666666665,0.35714285714285715,0.9714285714285714,1227.2727272727273,2.3333333333333335,0.72557,1
19,8,3,3,3,0.375,1.0,4,18.11,0,4.0,14,0.0417,0.3333333333333333,0.3333333333333333,0.7089,1.0,1.1333333333333333,0.6,0.75,0.6666666666666666,0.0,2.8,0.1668,0
19,7,4,5,2,0.5714,1.25,2,17.48,47000,4.7,14,0.0588,0.25,0.47368421052631576,1.0584,0.3333333333333333,1.2,1.6666666666666667,0.3333333333333333,1.125,9400.0,4.666666666666667,0.27636,1
19,6,4,0,6,0.6667,0.0,8,6.19,14576000,4.2,14,0.049,0.8571428571428571,0.23529411764705882,0.784,8.0,1.0666666666666667,0.0,6.0,0.5714285714285714,2915200.0,1.5555555555555556,0.2058,0
19,31,17,8,5,0.5484,0.4706,8,14.65,1460000,4.9,14,0.1667,0.15625,0.4032258064516129,10.1687,0.8888888888888888,4.066666666666666,0.8888888888888888,0.5555555555555556,0.78125,81111.11111111111,1.5555555555555556,0.81683,1
19,8,3,3,6,0.375,1.0,4,18.52,479000,3.6,14,0.0588,0.6666666666666666,0.2857142857142857,1.176,1.0,1.3333333333333333,0.6,1.5,0.6666666666666666,119750.0,2.8,0.21168,0
19,18,14,9,7,0.7778,0.6429,5,5.81,246000,2.5,14,0.125,0.3684210526315789,0.46938775510204084,6.0,0.5,3.2,1.5,0.7,1.2105263157894737,16400.0,2.3333333333333335,0.3125,0
19,9,4,4,1,0.4444,1.0,3,25.18,676000,4.0,14,0.0466,0.1,0.42105263157894735,0.8388,0.6,1.2,1.0,0.2,0.8,135200.0,3.5,0.1864,0
19,7,5,2,3,0.7143,0.4,5,5.07,209000,4.7,14,0.049,0.375,0.3888888888888889,0.8330000000000001,1.6666666666666667,1.1333333333333333,0.3333333333333333,1.0,0.875,34833.333333333336,2.3333333333333335,0.2303,0
19,3,2,3,2,0.6667,1.5,1,10.61,110000,3.8,14,0.0294,0.5,0.45454545454545453,0.294,0.25,0.6666666666666666,1.5,0.5,1.25,36666.666666666664,7.0,0.11171999999999999,0
19,7,3,1,0,0.4286,0.3333,2,12.25,2932000,4.0,14,0.0319,0.0,0.3333333333333333,0.3509,1.0,0.7333333333333333,0.3333333333333333,0.0,0.5,733000.0,4.666666666666667,0.1276,0
22,16,9,5,1,0.5625,0.5556,1,8.14,833000,4.0,14,0.0835,0.058823529411764705,0.4375,2.5885000000000002,0.16666666666666666,2.066666666666667,2.5,0.16666666666666666,0.8235294117647058,83300.0,7.0,0.334,0
22,44,18,6,11,0.4091,0.3333,4,7.0,2241000,3.8,14,0.2051,0.24444444444444444,0.3,16.2029,0.5714285714285714,5.266666666666667,1.2,1.5714285714285714,0.5333333333333333,117947.36842105263,2.8,0.77938,0
22,32,15,8,4,0.4688,0.5333,8,26.03,5521000,4.8,14,0.1646,0.12121212121212122,0.38333333333333336,9.7114,0.8888888888888888,3.933333333333333,0.8888888888888888,0.4444444444444444,0.696969696969697,345062.5,1.5555555555555556,0.79008,1
22,7,2,0,3,0.2857,0.0,2,35.99,1590000,4.4,14,0.038,0.375,0.15384615384615385,0.45599999999999996,2.0,0.8,0.0,3.0,0.25,530000.0,4.666666666666667,0.16720000000000002,0
22,13,10,6,2,0.7692,0.6,5,10.91,46000,4.0,14,0.0835,0.14285714285714285,0.5,2.5885000000000002,0.7142857142857143,2.066666666666667,1.0,0.2857142857142857,1.1428571428571428,4181.818181818182,2.3333333333333335,0.334,0
22,2,1,1,2,0.5,1.0,2,10.51,2451000,4.4,14,0.0177,0.6666666666666666,0.2857142857142857,0.1062,1.0,0.4,0.3333333333333333,1.0,0.6666666666666666,1225500.0,4.666666666666667,0.07788,0
22,4,2,3,1,0.5,1.5,1,9.36,1651000,1.5,14,0.0278,0.2,0.45454545454545453,0.27799999999999997,0.25,0.6666666666666666,1.5,0.25,1.0,550333.3333333334,7.0,0.0417,0
22,5,2,4,4,0.4,2.0,7,2.11,46930000,4.8,14,0.043,0.6666666666666666,0.375,0.6449999999999999,1.4,1.0,0.5,0.8,1.0,15643333.333333334,1.75,0.20639999999999997,0
22,5,3,2,8,0.6,0.6667,5,7.73,2089000,4.1,14,0.0582,1.3333333333333333,0.2631578947368421,1.0476,1.6666666666666667,1.2,0.3333333333333333,2.6666666666666665,0.8333333333333334,522250.0,2.3333333333333335,0.23862,1
22,3,1,3,0,0.3333,3.0,1,11.24,1702000,4.0,14,0.0228,0.0,0.5,0.15960000000000002,0.25,0.4666666666666667,1.5,0.0,1.0,851000.0,7.0,0.0912,0
22,18,13,7,5,0.7222,0.5385,4,19.69,1121000,4.6,14,0.1165,0.2631578947368421,0.45454545454545453,5.0095,0.5,2.8666666666666667,1.4,0.625,1.0526315789473684,80071.42857142857,2.8,0.5359,0
22,10,6,3,6,0.6,0.5,4,17.14,2962000,3.3,14,0.0759,0.5454545454545454,0.34615384615384615,1.8975,1.0,1.6666666666666667,0.6,1.5,0.8181818181818182,423142.85714285716,2.8,0.25046999999999997,1
22,5,2,3,4,0.4,1.5,5,16.34,404000,4.5,14,0.0405,0.6666666666666666,0.3333333333333333,0.5670000000000001,1.25,0.9333333333333333,0.5,1.0,0.8333333333333334,134666.66666666666,2.3333333333333335,0.18225,0
22,0,0,2,5,0.0,0.0,4,9.14,1635000,4.6,14,0.0228,5.0,0.25,0.15960000000000002,1.3333333333333333,0.4666666666666667,0.4,1.6666666666666667,2.0,1635000.0,2.8,0.10488,0
21,15,8,5,4,0.5333,0.625,5,0.49,245000,4.9,14,0.076,0.25,0.3939393939393939,2.432,0.8333333333333334,2.1333333333333333,0.8333333333333334,0.6666666666666666,0.8125,27222.222222222223,2.3333333333333335,0.3724,0
21,7,3,4,7,0.4286,1.3333,8,17.33,5192000,4.0,14,0.0645,0.875,0.3181818181818182,1.3545,1.6,1.4,0.4444444444444444,1.4,0.875,1298000.0,1.5555555555555556,0.258,1
21,18,9,6,9,0.5,0.6667,2,1.58,17449000,4.5,14,0.1037,0.47368421052631576,0.3488372093023256,4.3554,0.2857142857142857,2.8,2.0,1.2857142857142858,0.7894736842105263,1744900.0,4.666666666666667,0.46665,0
21,7,5,3,3,0.7143,0.6,4,5.5,75000,4.0,14,0.0461,0.375,0.42105263157894735,0.8298000000000001,1.0,1.2,0.6,0.75,1.0,12500.0,2.8,0.1844,0
21,9,5,5,7,0.5556,1.0,5,6.05,932000,3.9,14,0.0622,0.7,0.37037037037037035,1.6172,0.8333333333333334,1.7333333333333334,0.8333333333333334,1.1666666666666667,1.0,155333.33333333334,2.3333333333333335,0.24258,0
21,1,0,1,2,0.0,0.0,4,21.66,627000,3.0,14,0.0161,1.0,0.2,0.0644,2.0,0.26666666666666666,0.2,1.0,0.5,627000.0,2.8,0.048299999999999996,0
21,0,0,1,2,0.0,0.0,5,6.44,0,3.7,14,0.0069,2.0,0.25,0.0207,2.5,0.2,0.16666666666666666,1.0,1.0,0.0,2.3333333333333335,0.02553,0
21,18,14,11,1,0.7778,0.7857,5,22.99,0,4.5,14,0.1014,0.05263157894736842,0.5555555555555556,4.4616,0.4166666666666667,2.933333333333333,1.8333333333333333,0.08333333333333333,1.3157894736842106,0.0,2.3333333333333335,0.45630000000000004,0
21,13,11,8,6,0.8462,0.7273,2,17.94,315000,4.0,14,0.0945,0.42857142857142855,0.48717948717948717,3.591,0.2222222222222222,2.533333333333333,2.6666666666666665,0.6666666666666666,1.3571428571428572,26250.0,4.666666666666667,0.378,0
21,33,16,5,18,0.4848,0.3125,10,10.24,2796000,4.1,14,0.1728,0.5294117647058824,0.2876712328767123,12.441600000000001,1.6666666666666667,4.8,0.45454545454545453,3.0,0.6176470588235294,164470.58823529413,1.2727272727272727,0.70848,0
21,24,11,5,12,0.4583,0.4545,3,17.08,6576000,4.0,14,0.1382,0.48,0.3018867924528302,7.186399999999999,0.5,3.466666666666667,1.25,2.0,0.64,548000.0,3.5,0.5528,1
21,5,2,0,2,0.4,0.0,2,1.13,0,4.6,14,0.0207,0.3333333333333333,0.2,0.1863,2.0,0.6,0.0,2.0,0.3333333333333333,0.0,4.666666666666667,0.09521999999999999,0
21,11,6,3,7,0.5455,0.5,8,13.28,207000,3.1,14,0.0645,0.5833333333333334,0.32142857142857145,1.7415,2.0,1.8,0.3333333333333333,1.75,0.75,29571.428571428572,1.5555555555555556,0.19995000000000002,0
21,4,2,2,3,0.5,1.0,3,24.05,572000,4.6,14,0.0323,0.6,0.3333333333333333,0.3553,1.0,0.7333333333333333,0.5,1.0,0.8,190666.66666666666,3.5,0.14858,0
40,18,9,2,8,0.5,0.2222,2,17.49,349000,4.0,2,0.3305,0.42105263157894735,0.2894736842105263,12.2285,0.6666666666666666,12.333333333333334,0.6666666666666666,2.6666666666666665,0.5789473684210527,34900.0,0.6666666666666666,1.322,0
40,36,14,9,18,0.3889,0.6429,8,14.64,192000,4.0,2,0.6695,0.4864864864864865,0.2948717948717949,51.5515,0.8,25.666666666666668,1.0,1.8,0.6216216216216216,12800.0,0.2222222222222222,2.678,0
31,13,11,5,8,0.8462,0.4545,5,5.66,58000,4.0,8,0.1456,0.5714285714285714,0.42105263157894735,5.3872,0.8333333333333334,4.111111111111111,0.8333333333333334,1.3333333333333333,1.1428571428571428,4833.333333333333,1.3333333333333333,0.5824,0
31,4,3,1,9,0.75,0.3333,3,15.87,776000,4.0,8,0.0881,1.8,0.2222222222222222,1.4977,1.5,1.8888888888888888,0.25,4.5,0.8,194000.0,2.0,0.3524,1
31,34,12,8,12,0.3529,0.6667,5,5.15,49580000,4.0,8,0.295,0.34285714285714286,0.29850746268656714,19.47,0.5555555555555556,7.333333333333333,1.3333333333333333,1.3333333333333333,0.5714285714285714,3813846.153846154,1.3333333333333333,1.18,1
31,4,2,3,8,0.5,1.5,2,20.18,1256000,4.1,8,0.0881,1.6,0.2777777777777778,1.4977,0.5,1.8888888888888888,1.0,2.0,1.0,418666.6666666667,2.6666666666666665,0.36121,1
31,28,10,6,7,0.3571,0.6,11,21.12,8999000,4.0,8,0.2261,0.2413793103448276,0.3076923076923077,11.5311,1.5714285714285714,5.666666666666667,0.5,1.0,0.5517241379310345,818090.9090909091,0.6666666666666666,0.9044,1
31,8,4,5,5,0.5,1.25,5,11.59,0,4.4,8,0.0843,0.5555555555555556,0.391304347826087,1.8546,0.8333333333333334,2.4444444444444446,0.8333333333333334,0.8333333333333334,1.0,0.0,1.3333333333333333,0.37092,0
31,3,2,4,3,0.6667,2.0,1,22.16,798000,4.2,8,0.0575,0.75,0.46153846153846156,0.6900000000000001,0.2,1.3333333333333333,2.0,0.6,1.5,266000.0,4.0,0.24150000000000002,0
31,0,0,2,1,0.0,0.0,2,15.32,936000,4.7,8,0.0153,1.0,0.5,0.045899999999999996,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,936000.0,2.6666666666666665,0.07191,0
61,25,17,12,17,0.68,0.7059,5,9.59,8306000,4.0,7,0.3551,0.6538461538461539,0.4027777777777778,25.212100000000003,0.38461538461538464,8.875,2.0,1.3076923076923077,1.1153846153846154,461444.44444444444,1.1666666666666667,1.4204,1
61,5,3,0,0,0.6,0.0,1,18.44,0,4.0,7,0.0374,0.0,0.3333333333333333,0.2992,1.0,1.0,0.0,0.0,0.5,0.0,3.5,0.1496,0
61,14,6,5,1,0.4286,0.8333,1,7.04,318000,4.0,7,0.1308,0.06666666666666667,0.4074074074074074,3.4008,0.16666666666666666,3.25,2.5,0.16666666666666666,0.7333333333333333,45428.57142857143,3.5,0.5232,0
61,4,1,2,1,0.25,2.0,2,11.06,0,4.6,7,0.0374,0.2,0.3333333333333333,0.2992,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6,0.0,2.3333333333333335,0.17204,0
61,22,8,4,13,0.3636,0.5,11,6.51,6950000,4.0,7,0.243,0.5652173913043478,0.25,11.421,2.2,5.875,0.3333333333333333,2.6,0.5217391304347826,772222.2222222222,0.5833333333333334,0.972,1
61,12,4,1,5,0.3333,0.25,5,16.0,1144000,4.0,7,0.1121,0.38461538461538464,0.21739130434782608,2.4662,2.5,2.75,0.16666666666666666,2.5,0.38461538461538464,228800.0,1.1666666666666667,0.4484,0
61,6,4,2,5,0.6667,0.5,1,21.53,471000,3.2,7,0.0841,0.7142857142857143,0.3333333333333333,1.4297,0.3333333333333333,2.125,1.0,1.6666666666666667,0.8571428571428571,94200.0,3.5,0.26911999999999997,0
18,5,4,4,2,0.8,1.0,2,6.32,61000,4.0,11,0.0412,0.3333333333333333,0.5,0.618,0.4,1.25,1.3333333333333333,0.4,1.3333333333333333,12200.0,3.6666666666666665,0.1648,0
18,43,19,11,10,0.4419,0.5789,13,1.1,36000,4.2,11,0.2128,0.22727272727272727,0.35714285714285715,17.662399999999998,1.0833333333333333,6.916666666666667,0.7857142857142857,0.8333333333333334,0.6818181818181818,1800.0,0.7857142857142857,0.89376,1
18,15,7,4,8,0.4667,0.5714,4,37.25,199000,4.0,11,0.0915,0.5,0.3142857142857143,3.1109999999999998,0.8,2.8333333333333335,0.8,1.6,0.6875,24875.0,2.2,0.366,1
18,18,11,4,6,0.6111,0.3636,4,13.12,2917000,4.0,11,0.0961,0.3157894736842105,0.375,3.7479,0.8,3.25,0.8,1.2,0.7894736842105263,243083.33333333334,2.2,0.3844,0
18,27,14,6,15,0.5185,0.4286,4,21.18,336000,4.0,11,0.1648,0.5357142857142857,0.31746031746031744,10.217600000000001,0.5714285714285714,5.166666666666667,1.2,2.142857142857143,0.7142857142857143,22400.0,2.2,0.6592,1
18,6,3,0,9,0.5,0.0,4,5.22,34004000,5.0,11,0.0549,1.2857142857142858,0.15789473684210525,0.9882,4.0,1.5,0.0,9.0,0.42857142857142855,8501000.0,2.2,0.27449999999999997,1
18,42,29,8,19,0.6905,0.2759,12,9.61,282000,4.0,11,0.2494,0.4418604651162791,0.37373737373737376,24.441200000000002,1.3333333333333333,8.166666666666666,0.6153846153846154,2.111111111111111,0.8604651162790697,9400.0,0.8461538461538461,0.9976,1
18,7,3,3,1,0.4286,1.0,1,7.91,300000,4.0,11,0.0366,0.125,0.4,0.5124,0.25,1.1666666666666667,1.5,0.25,0.75,75000.0,5.5,0.1464,0
18,0,0,3,4,0.0,0.0,5,9.44,12751000,4.0,11,0.0206,4.0,0.375,0.1442,1.25,0.5833333333333334,0.5,1.0,3.0,12751000.0,1.8333333333333333,0.0824,0
18,2,0,1,5,0.0,0.0,1,6.61,0,4.0,11,0.0183,1.6666666666666667,0.1111111111111111,0.1464,0.5,0.6666666666666666,0.5,2.5,0.3333333333333333,0.0,5.5,0.0732,0
18,0,0,2,1,0.0,0.0,1,8.96,21835000,4.9,11,0.0137,1.0,0.5,0.0411,0.3333333333333333,0.25,1.0,0.3333333333333333,2.0,21835000.0,5.5,0.06713000000000001,0
64,1,0,1,5,0.0,0.0,5,21.23,430000,4.0,3,0.1075,2.5,0.125,0.7525,2.5,1.75,0.16666666666666666,2.5,0.5,430000.0,0.5,0.43,0
64,24,10,4,13,0.4167,0.4,9,13.89,4758000,4.0,3,0.5806,0.52,0.2692307692307692,29.6106,1.8,12.75,0.4,2.6,0.56,432545.45454545453,0.3,2.3224,0
64,12,5,3,4,0.4167,0.6,5,10.28,7960000,3.3,3,0.3118,0.3076923076923077,0.32,7.4832,1.25,6.0,0.5,1.0,0.6153846153846154,1326666.6666666667,0.5,1.02894,1
18,7,2,2,1,0.2857,1.0,1,16.77,0,4.6,3,0.1791,0.125,0.3076923076923077,2.1492,0.3333333333333333,3.0,1.0,0.3333333333333333,0.5,0.0,1.5,0.8238599999999999,0
18,7,4,4,5,0.5714,1.0,3,3.33,5965000,4.0,3,0.3881,0.625,0.38095238095238093,7.7620000000000005,0.6,5.0,1.0,1.0,1.0,1193000.0,0.75,1.5524,1
18,14,8,4,1,0.5714,0.5,7,0.13,11943000,4.0,3,0.4328,0.06666666666666667,0.42857142857142855,11.6856,1.4,6.75,0.5,0.2,0.8,1327000.0,0.375,1.7312,0
33,8,4,1,8,0.5,0.25,7,19.05,0,3.9,13,0.0515,0.8888888888888888,0.22727272727272727,1.0815,3.5,1.5,0.125,4.0,0.5555555555555556,0.0,1.625,0.20084999999999997,0
33,37,19,5,18,0.5135,0.2632,4,13.39,3936000,4.0,13,0.2108,0.47368421052631576,0.3,16.6532,0.6666666666666666,5.642857142857143,1.0,3.0,0.631578947368421,196800.0,2.6,0.8432,1
33,16,12,9,7,0.75,0.75,3,17.74,1708000,4.2,13,0.1127,0.4117647058823529,0.4666666666666667,4.9588,0.3,3.142857142857143,2.25,0.7,1.2352941176470589,131384.61538461538,3.25,0.47334,0
33,14,10,7,14,0.7143,0.7,7,8.64,936000,3.3,13,0.1299,0.9333333333333333,0.3695652173913043,5.8454999999999995,0.875,3.2142857142857144,0.875,1.75,1.1333333333333333,85090.90909090909,1.625,0.42866999999999994,1
33,9,7,3,4,0.7778,0.4286,5,9.22,1504000,2.8,13,0.0588,0.4,0.4166666666666667,1.3524,1.25,1.6428571428571428,0.5,1.0,1.0,188000.0,2.1666666666666665,0.16463999999999998,0
33,1,0,0,2,0.0,0.0,4,13.56,0,4.0,13,0.0074,1.0,0.0,0.0222,4.0,0.21428571428571427,0.0,2.0,0.0,0.0,2.6,0.0296,0
33,7,2,2,2,0.2857,1.0,4,15.62,1227000,4.8,13,0.0392,0.25,0.2857142857142857,0.5095999999999999,1.3333333333333333,0.9285714285714286,0.4,0.6666666666666666,0.5,409000.0,2.6,0.18816,0
33,2,1,1,4,0.5,1.0,2,7.15,54645000,3.4,13,0.0221,1.3333333333333333,0.2222222222222222,0.1768,1.0,0.5714285714285714,0.3333333333333333,2.0,0.6666666666666666,27322500.0,4.333333333333333,0.07514,0
33,7,4,5,4,0.5714,1.25,1,13.78,10327000,4.1,13,0.0564,0.5,0.42857142857142855,1.128,0.16666666666666666,1.4285714285714286,2.5,0.6666666666666666,1.125,2065400.0,6.5,0.23123999999999997,0
33,34,20,6,10,0.5882,0.3,9,10.78,55000,3.7,13,0.1887,0.2857142857142857,0.36619718309859156,13.209,1.2857142857142858,5.0,0.6,1.4285714285714286,0.7428571428571429,2619.0476190476193,1.3,0.6981900000000001,1
33,4,2,3,4,0.5,1.5,2,8.05,761000,3.4,13,0.0368,0.8,0.35714285714285715,0.4784,0.5,0.9285714285714286,1.0,1.0,1.0,253666.66666666666,4.333333333333333,0.12511999999999998,0
33,9,5,3,3,0.5556,0.6,6,12.04,0,4.0,13,0.049,0.3,0.38095238095238093,0.98,1.5,1.4285714285714286,0.42857142857142855,0.75,0.8,0.0,1.8571428571428572,0.196,0
33,7,3,1,4,0.4286,0.3333,1,0.73,0,4.9,13,0.0368,0.5,0.25,0.552,0.5,1.0714285714285714,0.5,2.0,0.5,0.0,6.5,0.18032,0
29,7,3,0,2,0.4286,0.0,3,30.93,0,4.3,14,0.024,0.25,0.23076923076923078,0.28800000000000003,3.0,0.8,0.0,2.0,0.375,0.0,3.5,0.1032,0
29,2,1,3,1,0.5,3.0,5,11.53,130000,4.0,14,0.02,0.3333333333333333,0.5,0.14,1.25,0.4666666666666667,0.5,0.25,1.3333333333333333,65000.0,2.3333333333333335,0.08,0
29,7,2,3,6,0.2857,1.5,8,10.8,92000,3.4,14,0.042,0.75,0.2631578947368421,0.756,2.0,1.2,0.3333333333333333,1.5,0.625,30666.666666666668,1.5555555555555556,0.1428,0
29,11,7,3,1,0.6364,0.4286,4,12.85,2110000,4.5,14,0.054,0.08333333333333333,0.43478260869565216,1.188,1.0,1.4666666666666666,0.6,0.25,0.8333333333333334,263750.0,2.8,0.243,1
29,8,3,3,1,0.375,1.0,8,12.19,1829000,4.4,14,0.034,0.1111111111111111,0.375,0.51,2.0,1.0,0.3333333333333333,0.25,0.6666666666666666,457250.0,1.5555555555555556,0.1496,0
29,7,2,0,4,0.2857,0.0,3,9.88,1389000,4.6,14,0.03,0.5,0.14285714285714285,0.39,3.0,0.8666666666666667,0.0,4.0,0.25,463000.0,3.5,0.13799999999999998,0
29,10,3,1,1,0.3,0.3333,5,0.94,51264000,4.9,14,0.032,0.09090909090909091,0.25,0.48,2.5,1.0,0.16666666666666666,0.5,0.36363636363636365,12816000.0,2.3333333333333335,0.15680000000000002,0
29,33,11,9,9,0.3333,0.8182,8,8.21,867000,4.2,14,0.146,0.2647058823529412,0.31746031746031744,9.052,0.8,4.133333333333334,1.0,0.9,0.5882352941176471,72250.0,1.5555555555555556,0.6132,1
29,15,11,2,3,0.7333,0.1818,3,13.26,2459000,2.8,14,0.076,0.1875,0.40625,2.356,1.0,2.066666666666667,0.5,1.0,0.8125,204916.66666666666,3.5,0.2128,1
29,40,23,11,19,0.575,0.4783,5,6.7,1056000,3.1,14,0.196,0.4634146341463415,0.3617021276595745,18.228,0.4166666666666667,6.2,1.8333333333333333,1.5833333333333333,0.8292682926829268,44000.0,2.3333333333333335,0.6076,1
29,2,1,1,4,0.5,1.0,4,15.63,4097000,3.4,14,0.02,1.3333333333333333,0.2222222222222222,0.16,2.0,0.5333333333333333,0.2,2.0,0.6666666666666666,2048500.0,2.8,0.068,0
29,14,6,4,18,0.4286,0.6667,11,5.73,1065000,4.0,14,0.098,1.2,0.23255813953488372,4.1160000000000005,2.2,2.8,0.3333333333333333,3.6,0.6666666666666666,152142.85714285713,1.1666666666666667,0.392,1
