age,total_view,total_click,total_cart,total_wishlist,click_through_rate,cart_rate,unique_brands,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,repurchase
22,13,10,6,2,0.7692,0.6,5,10.91,46000,4.0,14,0.0835,0
22,2,1,1,2,0.5,1.0,2,10.51,2451000,4.4,14,0.0177,0
22,4,2,3,1,0.5,1.5,1,9.36,1651000,1.5,14,0.0278,0
22,5,2,4,4,0.4,2.0,7,2.11,46930000,4.8,14,0.043,0
22,5,3,2,8,0.6,0.6667,5,7.73,2089000,4.1,14,0.0582,1
22,3,1,3,0,0.3333,3.0,1,11.24,1702000,4.0,14,0.0228,0
22,18,13,7,5,0.7222,0.5385,4,19.69,1121000,4.6,14,0.1165,0
22,10,6,3,6,0.6,0.5,4,17.14,2962000,3.3,14,0.0759,1
22,5,2,3,4,0.4,1.5,5,16.34,404000,4.5,14,0.0405,0
22,0,0,2,5,0.0,0.0,4,9.14,1635000,4.6,14,0.0228,0
21,15,8,5,4,0.5333,0.625,5,0.49,245000,4.9,14,0.076,0
21,7,3,4,7,0.4286,1.3333,8,17.33,5192000,4.0,14,0.0645,1
21,18,9,6,9,0.5,0.6667,2,1.58,17449000,4.5,14,0.1037,0
21,7,5,3,3,0.7143,0.6,4,5.5,75000,4.0,14,0.0461,0
21,9,5,5,7,0.5556,1.0,5,6.05,932000,3.9,14,0.0622,0
21,1,0,1,2,0.0,0.0,4,21.66,627000,3.0,14,0.0161,0
21,0,0,1,2,0.0,0.0,5,6.44,0,3.7,14,0.0069,0
21,18,14,11,1,0.7778,0.7857,5,22.99,0,4.5,14,0.1014,0
21,13,11,8,6,0.8462,0.7273,2,17.94,315000,4.0,14,0.0945,0
21,33,16,5,18,0.4848,0.3125,10,10.24,2796000,4.1,14,0.1728,0
21,24,11,5,12,0.4583,0.4545,3,17.08,6576000,4.0,14,0.1382,1
21,5,2,0,2,0.4,0.0,2,1.13,0,4.6,14,0.0207,0
21,11,6,3,7,0.5455,0.5,8,13.28,207000,3.1,14,0.0645,0
21,4,2,2,3,0.5,1.0,3,24.05,572000,4.6,14,0.0323,0
40,18,9,2,8,0.5,0.2222,2,17.49,349000,4.0,2,0.3305,0
40,36,14,9,18,0.3889,0.6429,8,14.64,192000,4.0,2,0.6695,0
31,13,11,5,8,0.8462,0.4545,5,5.66,58000,4.0,8,0.1456,0
31,4,3,1,9,0.75,0.3333,3,15.87,776000,4.0,8,0.0881,1
31,34,12,8,12,0.3529,0.6667,5,5.15,49580000,4.0,8,0.295,1
31,4,2,3,8,0.5,1.5,2,20.18,1256000,4.1,8,0.0881,1
31,28,10,6,7,0.3571,0.6,11,21.12,8999000,4.0,8,0.2261,1
31,8,4,5,5,0.5,1.25,5,11.59,0,4.4,8,0.0843,0
31,3,2,4,3,0.6667,2.0,1,22.16,798000,4.2,8,0.0575,0
31,0,0,2,1,0.0,0.0,2,15.32,936000,4.7,8,0.0153,0
61,25,17,12,17,0.68,0.7059,5,9.59,8306000,4.0,7,0.3551,1
61,5,3,0,0,0.6,0.0,1,18.44,0,4.0,7,0.0374,0
61,14,6,5,1,0.4286,0.8333,1,7.04,318000,4.0,7,0.1308,0
61,4,1,2,1,0.25,2.0,2,11.06,0,4.6,7,0.0374,0
61,22,8,4,13,0.3636,0.5,11,6.51,6950000,4.0,7,0.243,1
61,12,4,1,5,0.3333,0.25,5,16.0,1144000,4.0,7,0.1121,0
61,6,4,2,5,0.6667,0.5,1,21.53,471000,3.2,7,0.0841,0
18,5,4,4,2,0.8,1.0,2,6.32,61000,4.0,11,0.0412,0
18,43,19,11,10,0.4419,0.5789,13,1.1,36000,4.2,11,0.2128,1
18,15,7,4,8,0.4667,0.5714,4,37.25,199000,4.0,11,0.0915,1
18,18,11,4,6,0.6111,0.3636,4,13.12,2917000,4.0,11,0.0961,0
18,27,14,6,15,0.5185,0.4286,4,21.18,336000,4.0,11,0.1648,1
18,6,3,0,9,0.5,0.0,4,5.22,34004000,5.0,11,0.0549,1
18,42,29,8,19,0.6905,0.2759,12,9.61,282000,4.0,11,0.2494,1
18,7,3,3,1,0.4286,1.0,1,7.91,300000,4.0,11,0.0366,0
18,0,0,3,4,0.0,0.0,5,9.44,12751000,4.0,11,0.0206,0
18,2,0,1,5,0.0,0.0,1,6.61,0,4.0,11,0.0183,0
18,0,0,2,1,0.0,0.0,1,8.96,21835000,4.9,11,0.0137,0
64,1,0,1,5,0.0,0.0,5,21.23,430000,4.0,3,0.1075,0
64,24,10,4,13,0.4167,0.4,9,13.89,4758000,4.0,3,0.5806,0
64,12,5,3,4,0.4167,0.6,5,10.28,7960000,3.3,3,0.3118,1
18,7,2,2,1,0.2857,1.0,1,16.77,0,4.6,3,0.1791,0
18,7,4,4,5,0.5714,1.0,3,3.33,5965000,4.0,3,0.3881,1
18,14,8,4,1,0.5714,0.5,7,0.13,11943000,4.0,3,0.4328,0
33,8,4,1,8,0.5,0.25,7,19.05,0,3.9,13,0.0515,0
33,37,19,5,18,0.5135,0.2632,4,13.39,3936000,4.0,13,0.2108,1
33,16,12,9,7,0.75,0.75,3,17.74,1708000,4.2,13,0.1127,0
33,14,10,7,14,0.7143,0.7,7,8.64,936000,3.3,13,0.1299,1
33,9,7,3,4,0.7778,0.4286,5,9.22,1504000,2.8,13,0.0588,0
33,1,0,0,2,0.0,0.0,4,13.56,0,4.0,13,0.0074,0
33,7,2,2,2,0.2857,1.0,4,15.62,1227000,4.8,13,0.0392,0
33,2,1,1,4,0.5,1.0,2,7.15,54645000,3.4,13,0.0221,0
33,7,4,5,4,0.5714,1.25,1,13.78,10327000,4.1,13,0.0564,0
33,34,20,6,10,0.5882,0.3,9,10.78,55000,3.7,13,0.1887,1
33,4,2,3,4,0.5,1.5,2,8.05,761000,3.4,13,0.0368,0
33,9,5,3,3,0.5556,0.6,6,12.04,0,4.0,13,0.049,0
33,7,3,1,4,0.4286,0.3333,1,0.73,0,4.9,13,0.0368,0
29,7,3,0,2,0.4286,0.0,3,30.93,0,4.3,14,0.024,0
29,2,1,3,1,0.5,3.0,5,11.53,130000,4.0,14,0.02,0
29,7,2,3,6,0.2857,1.5,8,10.8,92000,3.4,14,0.042,0
29,11,7,3,1,0.6364,0.4286,4,12.85,2110000,4.5,14,0.054,1
29,8,3,3,1,0.375,1.0,8,12.19,1829000,4.4,14,0.034,0
29,7,2,0,4,0.2857,0.0,3,9.88,1389000,4.6,14,0.03,0
29,10,3,1,1,0.3,0.3333,5,0.94,51264000,4.9,14,0.032,0
29,33,11,9,9,0.3333,0.8182,8,8.21,867000,4.2,14,0.146,1
29,15,11,2,3,0.7333,0.1818,3,13.26,2459000,2.8,14,0.076,1
29,40,23,11,19,0.575,0.4783,5,6.7,1056000,3.1,14,0.196,1
29,2,1,1,4,0.5,1.0,4,15.63,4097000,3.4,14,0.02,0
29,14,6,4,18,0.4286,0.6667,11,5.73,1065000,4.0,14,0.098,1
29,43,17,5,20,0.3953,0.2941,12,1.05,11500000,4.7,14,0.188,1
29,5,3,1,9,0.6,0.3333,6,11.08,17377000,4.5,14,0.04,0
37,4,1,3,3,0.25,3.0,5,8.2,85000,3.6,15,0.0258,0
37,6,3,2,0,0.5,0.6667,3,19.95,1421000,3.6,15,0.0258,0
37,12,10,6,9,0.8333,0.6,1,26.33,0,4.2,15,0.0683,0
37,41,14,5,19,0.3415,0.3571,14,20.65,2023000,4.8,15,0.1494,0
37,33,26,18,17,0.7879,0.6923,9,14.16,1116000,3.5,15,0.1956,1
37,3,1,0,4,0.3333,0.0,4,2.46,10918000,4.8,15,0.0203,0
37,4,2,2,3,0.5,1.0,3,0.33,257000,4.7,15,0.024,0
37,33,23,11,8,0.697,0.4783,12,13.37,856000,3.5,15,0.1476,1
37,13,6,3,7,0.4615,0.5,1,23.33,427000,3.8,15,0.059,0
37,8,5,2,1,0.625,0.4,2,6.76,1107000,4.4,15,0.0332,0
37,5,2,1,8,0.4,0.5,2,20.0,1013000,4.4,15,0.0314,0
37,8,4,3,9,0.5,0.75,2,16.74,0,4.2,15,0.0443,0
37,8,6,4,3,0.75,0.6667,5,6.24,1828000,4.0,15,0.0406,0
37,11,7,5,2,0.6364,0.7143,7,10.29,2667000,4.7,15,0.0535,0
37,18,9,5,7,0.5,0.5556,4,10.58,1742000,4.5,15,0.0812,1
18,42,25,17,18,0.5952,0.68,6,8.9,1142000,3.0,5,0.3502,0
18,6,2,3,4,0.3333,1.5,5,8.06,1542000,4.8,5,0.0539,0
18,12,7,5,6,0.5833,0.7143,6,16.72,8001000,3.9,5,0.1246,1
18,26,10,4,11,0.3846,0.4,11,9.53,180000,4.0,5,0.1852,0
18,39,21,7,10,0.5385,0.3333,9,7.63,1312000,4.0,5,0.2862,1
31,6,4,5,5,0.6667,1.25,3,5.73,1191000,4.0,6,0.0952,1
31,10,6,3,3,0.6,0.5,4,8.52,3633000,4.0,6,0.1026,1
31,31,11,4,17,0.3548,0.3636,6,8.97,198000,3.4,6,0.2674,1
31,39,32,22,8,0.8205,0.6875,14,6.98,4668000,4.0,6,0.3773,0
31,0,0,3,4,0.0,0.0,1,23.93,921000,4.7,6,0.033,0
31,15,6,3,8,0.4,0.5,4,5.0,240000,3.2,6,0.1245,0
19,2,1,2,4,0.5,2.0,5,7.04,0,3.8,6,0.0769,0
19,20,10,2,6,0.5,0.2,13,2.35,355000,4.0,6,0.3419,0
19,19,7,5,5,0.3684,0.7143,9,11.21,5841000,4.4,6,0.3761,1
19,2,1,1,1,0.5,1.0,5,7.62,0,4.0,6,0.0427,0
19,4,1,0,1,0.25,0.0,5,7.93,159000,3.1,6,0.0769,0
19,2,1,0,5,0.5,0.0,5,22.32,876000,4.8,6,0.0855,0
18,14,5,2,3,0.3571,0.4,5,3.96,922000,2.5,5,0.1217,0
18,45,38,15,11,0.8444,0.3947,6,13.84,638000,4.3,5,0.4957,1
18,2,1,3,4,0.5,3.0,4,9.39,0,4.0,5,0.0435,0
18,18,7,2,16,0.3889,0.2857,10,13.39,1445000,4.7,5,0.2391,1
18,5,2,2,8,0.4,1.0,7,4.95,5760000,4.3,5,0.1,1
21,5,2,1,0,0.4,0.5,1,7.23,1463000,3.5,4,0.0973,0
21,28,10,2,11,0.3571,0.2,10,20.41,152000,4.0,4,0.5398,1
21,13,7,3,9,0.5385,0.4286,8,26.65,1013000,4.8,4,0.3186,0
21,0,0,2,0,0.0,0.0,2,14.98,702000,4.2,4,0.0442,0
34,7,5,3,1,0.7143,0.6,7,13.37,1354000,3.3,12,0.0659,0
34,3,1,0,5,0.3333,0.0,3,10.97,0,4.9,12,0.0349,0
34,6,4,4,4,0.6667,1.0,2,17.16,1729000,4.0,12,0.0814,0
34,5,2,3,2,0.4,1.5,1,9.6,323000,4.0,12,0.0504,0
34,10,5,5,8,0.5,1.0,2,12.22,242000,4.2,12,0.1357,1
34,0,0,1,4,0.0,0.0,1,9.2,0,4.0,12,0.0194,0
34,6,2,3,3,0.3333,1.5,3,11.75,235000,4.0,12,0.0659,0
34,10,5,3,1,0.5,0.6,8,6.6,257000,4.0,12,0.1008,1
34,19,15,3,7,0.7895,0.2,12,9.84,234000,2.2,12,0.2054,1
34,10,5,2,9,0.5,0.4,3,0.17,44155000,4.0,12,0.1124,0
34,1,0,0,0,0.0,0.0,2,7.89,92000,4.5,12,0.0078,0
34,13,10,6,1,0.7692,0.6,1,13.0,912000,3.4,12,0.1202,0
19,5,1,2,2,0.2,2.0,5,42.58,0,4.0,5,0.0833,0
19,5,2,1,1,0.4,0.5,4,9.39,0,4.5,5,0.075,0
19,5,3,1,0,0.6,0.3333,5,0.93,1296000,1.9,5,0.0833,0
19,31,12,3,12,0.3871,0.25,8,20.79,826000,4.4,5,0.5,0
19,11,8,4,6,0.7273,0.5,3,21.74,727000,2.5,5,0.2583,0
27,30,22,6,9,0.7333,0.2727,11,12.0,2701000,4.3,5,0.48,1
27,8,4,0,1,0.5,0.0,3,15.33,0,4.0,5,0.0867,0
27,18,9,7,4,0.5,0.7778,2,14.98,187000,4.7,5,0.2667,0
27,4,2,1,5,0.5,0.5,2,3.29,66000,3.6,5,0.1,0
27,4,2,0,4,0.5,0.0,1,7.15,0,4.0,5,0.0667,0
18,29,15,6,15,0.5172,0.4,13,9.83,2395000,2.1,8,0.2937,1
18,13,5,3,3,0.3846,0.6,4,11.23,316000,4.0,8,0.1032,0
18,15,7,5,15,0.4667,0.7143,8,15.98,384000,4.2,8,0.2024,1
18,3,1,0,1,0.3333,0.0,4,10.38,4057000,3.2,8,0.0238,0
18,16,10,6,7,0.625,0.6,3,18.08,0,4.2,8,0.1548,0
18,13,10,7,4,0.7692,0.7,1,6.2,214000,4.3,8,0.1508,0
18,0,0,2,4,0.0,0.0,4,9.39,310000,4.1,8,0.0317,0
18,3,1,3,0,0.3333,3.0,4,15.05,2115000,3.5,8,0.0397,0
37,5,3,2,8,0.6,0.6667,7,1.13,63000,3.8,2,0.2588,0
37,34,13,6,4,0.3824,0.4615,5,11.56,359000,4.0,2,0.7412,1
45,3,1,1,5,0.3333,1.0,4,18.68,0,4.4,10,0.0485,0
45,4,1,2,3,0.25,2.0,3,4.55,32395000,3.8,10,0.0534,0
45,4,3,4,5,0.75,1.3333,3,40.18,203000,3.2,10,0.0874,0
45,8,6,2,5,0.75,0.3333,5,7.37,0,4.0,10,0.1019,0
45,12,4,3,3,0.3333,0.75,7,3.5,6359000,4.0,10,0.1165,0
45,7,2,0,5,0.2857,0.0,8,12.89,336000,4.0,10,0.0971,1
45,4,2,2,6,0.5,1.0,6,15.65,366000,4.0,10,0.0728,0
45,20,11,5,10,0.55,0.4545,6,7.85,17843000,3.2,10,0.2524,1
45,4,1,2,3,0.25,2.0,2,9.95,0,4.1,10,0.0485,0
45,7,3,2,9,0.4286,0.6667,8,8.69,1660000,3.4,10,0.1214,0
37,3,1,3,1,0.3333,3.0,2,9.35,0,4.6,3,0.1778,0
37,2,1,3,3,0.5,3.0,3,5.67,5421000,3.6,3,0.2667,0
37,8,6,5,1,0.75,0.8333,3,28.01,895000,3.4,3,0.5556,1
43,31,20,15,15,0.6452,0.75,5,25.14,2538000,4.8,6,0.3021,1
43,41,14,5,18,0.3415,0.3571,13,12.6,1271000,4.0,6,0.309,1
43,6,4,4,3,0.6667,1.0,3,16.84,5595000,4.1,6,0.0625,0
43,16,9,8,9,0.5625,0.8889,7,5.62,14128000,4.4,6,0.1528,0
43,9,5,4,9,0.5556,0.8,5,9.55,2030000,4.5,6,0.1111,1
43,6,2,2,5,0.3333,1.0,3,7.19,1742000,4.6,6,0.0625,0
45,12,8,6,4,0.6667,0.75,8,25.63,600000,4.7,8,0.1006,1
45,9,5,2,1,0.5556,0.4,4,17.48,97000,3.8,8,0.0575,0
45,34,14,5,13,0.4118,0.3571,8,0.95,214000,2.7,8,0.1954,0
45,5,2,1,2,0.4,0.5,2,3.37,23837000,4.8,8,0.0316,0
45,15,6,3,3,0.4,0.5,5,17.27,1405000,3.7,8,0.092,1
45,7,3,4,2,0.4286,1.3333,5,4.83,0,4.0,8,0.046,0
45,25,21,11,14,0.84,0.5238,3,12.68,672000,3.6,8,0.2241,1
45,43,19,6,13,0.4419,0.3158,14,13.61,2555000,4.7,8,0.2529,1
19,27,10,5,17,0.3704,0.5,5,3.35,69000,4.3,8,0.3422,1
19,4,3,3,4,0.75,1.0,5,10.48,2165000,4.4,8,0.0802,0
19,7,2,0,0,0.2857,0.0,5,12.29,887000,3.9,8,0.0535,0
19,7,5,4,1,0.7143,0.8,8,17.65,2534000,3.7,8,0.107,0
19,4,2,3,4,0.5,1.5,2,3.1,198000,4.0,8,0.0749,0
19,10,6,5,5,0.6,0.8333,6,24.48,798000,4.0,8,0.1658,1
19,4,2,1,4,0.5,0.5,4,15.37,389000,3.9,8,0.0802,0
19,8,6,2,1,0.75,0.3333,5,11.94,1004000,4.5,8,0.0963,0
29,4,1,2,7,0.25,2.0,7,21.86,994000,4.6,12,0.0401,0
29,5,2,3,5,0.4,1.5,1,3.21,61000,4.5,12,0.0428,0
29,0,0,0,5,0.0,0.0,1,27.97,1584000,4.4,12,0.0214,0
29,8,5,2,4,0.625,0.4,8,10.75,306000,3.7,12,0.0642,1
29,26,12,8,16,0.4615,0.6667,13,15.18,225000,3.9,12,0.1765,0
29,1,0,2,4,0.0,0.0,1,14.21,736000,4.1,12,0.0267,0
29,28,11,6,14,0.3929,0.5455,7,7.95,1430000,3.3,12,0.1791,1
29,22,10,7,7,0.4545,0.7,3,0.53,247000,2.0,12,0.131,0
29,8,3,3,2,0.375,1.0,1,4.61,12027000,4.5,12,0.0481,0
29,8,3,0,1,0.375,0.0,5,3.86,58000,3.7,12,0.0401,0
29,16,8,6,6,0.5,0.75,5,14.84,1870000,4.0,12,0.1123,1
29,15,7,3,8,0.4667,0.4286,10,15.52,515000,4.0,12,0.1176,1
18,6,5,5,3,0.8333,1.0,3,12.97,0,4.5,13,0.0491,0
18,17,10,8,9,0.5882,0.8,3,9.44,107000,4.0,13,0.1214,0
18,36,24,6,7,0.6667,0.25,5,21.36,2868000,3.4,13,0.2145,1
18,12,9,7,9,0.75,0.7778,8,5.38,17882000,4.0,13,0.1059,0
18,2,1,2,1,0.5,2.0,5,5.51,0,4.0,13,0.0155,0
18,4,2,2,1,0.5,1.0,5,0.49,33000,3.8,13,0.0284,0
18,17,13,6,2,0.7647,0.4615,7,18.43,1372000,4.0,13,0.1163,1
18,15,11,3,7,0.7333,0.2727,1,21.81,387000,4.0,13,0.1111,1
18,15,5,5,9,0.3333,1.0,2,3.37,1458000,4.0,13,0.0956,0
18,6,4,3,5,0.6667,0.75,3,4.32,4042000,4.0,13,0.0517,0
18,5,2,3,0,0.4,1.5,3,4.97,8999000,4.0,13,0.031,0
18,8,3,0,3,0.375,0.0,5,12.66,880000,3.7,13,0.0413,0
18,1,0,3,2,0.0,0.0,2,16.51,3373000,4.0,13,0.0181,0
21,17,6,6,9,0.3529,1.0,2,5.48,41477000,4.5,3,0.4674,1
21,6,3,3,5,0.5,1.0,3,9.75,65000,4.5,3,0.2174,0
21,12,7,4,1,0.5833,0.5714,2,3.68,11264000,4.0,3,0.3152,1
30,14,11,6,8,0.7857,0.5455,6,3.73,3179000,2.9,2,0.35,0
30,41,16,10,7,0.3902,0.625,3,8.47,62000,4.7,2,0.65,0
18,23,14,6,6,0.6087,0.4286,3,14.52,624000,4.0,4,0.4254,1
18,13,9,8,3,0.6923,0.8889,8,24.74,178000,4.0,4,0.2612,0
18,11,7,2,4,0.6364,0.2857,6,11.82,2039000,4.5,4,0.2313,1
18,5,2,2,1,0.4,1.0,4,14.92,310000,4.5,4,0.0821,0
50,9,7,4,1,0.7778,0.5714,4,2.66,1015000,4.1,6,0.1232,0
50,6,2,1,0,0.3333,0.5,1,20.27,4740000,4.3,6,0.0542,0
50,11,4,3,9,0.3636,0.75,7,19.49,657000,4.2,6,0.1527,0
50,4,2,0,3,0.5,0.0,2,2.1,6461000,4.9,6,0.0493,0
50,45,25,14,15,0.5556,0.56,6,7.18,552000,2.5,6,0.4975,0
50,9,5,2,9,0.5556,0.4,1,7.02,0,4.0,6,0.1232,0
18,21,15,6,7,0.7143,0.4,5,6.18,561000,4.0,9,0.132,1
18,25,19,14,18,0.76,0.7368,12,39.71,2451000,3.0,9,0.1745,0
18,6,2,1,5,0.3333,0.5,1,12.12,0,3.8,9,0.0313,0
18,41,33,14,14,0.8049,0.4242,5,5.39,426000,4.7,9,0.2438,1
18,3,1,1,3,0.3333,1.0,5,10.78,1623000,4.0,9,0.0201,0
18,27,18,11,4,0.6667,0.6111,5,11.98,2252000,4.4,9,0.1387,0
18,5,2,4,1,0.4,2.0,4,4.39,4173000,4.3,9,0.0291,0
18,7,3,2,4,0.4286,0.6667,3,20.38,1298000,4.4,9,0.0425,0
18,38,20,6,11,0.5263,0.3,13,8.75,121000,4.0,9,0.1879,1
21,5,3,2,7,0.6,0.6667,7,6.28,48000,4.2,9,0.0887,1
21,1,0,0,3,0.0,0.0,1,11.78,689000,4.4,9,0.0282,0
21,1,0,0,0,0.0,0.0,4,32.47,0,4.0,9,0.004,0
21,6,3,2,4,0.5,0.6667,4,21.86,0,3.7,9,0.0605,0
21,7,4,4,5,0.5714,1.0,3,5.84,0,4.0,9,0.0806,0
21,11,9,8,1,0.8182,0.8889,7,5.94,8150000,4.6,9,0.1411,1
21,16,11,5,4,0.6875,0.4545,2,21.74,614000,4.8,9,0.1492,0
21,31,16,9,16,0.5161,0.5625,8,15.92,2158000,2.4,9,0.3185,1
21,12,8,3,2,0.6667,0.375,5,15.99,2620000,4.0,9,0.129,1
30,0,0,3,4,0.0,0.0,5,1.93,26755000,4.0,8,0.0426,0
30,8,5,5,6,0.625,1.0,7,8.65,4353000,4.0,8,0.1319,1
30,15,6,6,4,0.4,1.0,4,17.73,6939000,4.3,8,0.1404,0
30,8,4,0,2,0.5,0.0,3,2.54,0,3.7,8,0.0596,0
30,27,9,4,4,0.3333,0.4444,3,14.02,45000,3.7,8,0.2128,1
30,5,2,0,1,0.4,0.0,8,4.68,264000,4.0,8,0.0426,0
30,5,2,0,3,0.4,0.0,1,11.33,318000,2.7,8,0.0553,0
30,36,18,5,10,0.5,0.2778,12,21.07,14470000,4.0,8,0.3149,1
50,12,8,7,6,0.6667,0.875,8,7.64,181000,4.6,9,0.157,1
50,15,12,5,9,0.8,0.4167,4,6.03,0,2.8,9,0.1694,0
50,18,9,3,1,0.5,0.3333,7,6.73,255000,4.9,9,0.1405,0
50,10,4,1,1,0.4,0.25,7,13.19,2569000,3.8,9,0.0909,1
50,21,9,4,8,0.4286,0.4444,9,2.59,81000,4.1,9,0.2025,1
50,3,1,2,5,0.3333,2.0,4,12.63,6607000,4.5,9,0.0579,0
50,2,1,3,4,0.5,3.0,5,20.03,4629000,4.0,9,0.0455,0
50,7,2,0,5,0.2857,0.0,4,44.77,1638000,4.0,9,0.0868,1
50,4,2,1,4,0.5,0.5,1,20.36,3064000,3.9,9,0.0496,0
20,14,9,4,1,0.6429,0.4444,8,18.38,1961000,2.7,8,0.2065,0
20,3,1,1,4,0.3333,1.0,4,7.01,0,4.8,8,0.0581,0
20,5,4,1,1,0.8,0.25,3,22.88,407000,3.9,8,0.0903,0
20,8,3,1,5,0.375,0.3333,7,9.13,121000,4.8,8,0.1419,1
20,16,6,5,14,0.375,0.8333,5,10.98,311000,4.0,8,0.2903,0
20,1,0,3,5,0.0,0.0,3,16.35,0,2.4,8,0.0581,0
20,0,0,2,5,0.0,0.0,5,16.57,718000,4.5,8,0.0645,0
20,5,2,1,4,0.4,0.5,1,8.59,1148000,4.3,8,0.0903,0
40,0,0,2,0,0.0,0.0,1,5.06,12737000,4.8,13,0.0099,0
40,41,32,7,15,0.7805,0.2188,4,23.23,310000,4.8,13,0.2438,0
40,13,5,4,19,0.3846,0.8,6,11.32,619000,4.3,13,0.1108,0
40,11,5,3,2,0.4545,0.6,6,0.43,565000,4.0,13,0.069,1
40,7,3,3,2,0.4286,1.0,4,6.22,406000,4.8,13,0.0419,0
40,0,0,2,0,0.0,0.0,5,23.58,0,2.9,13,0.0049,0
40,9,6,2,8,0.6667,0.3333,8,7.3,309000,4.0,13,0.0665,0
40,28,15,8,20,0.5357,0.5333,13,13.58,929000,4.5,13,0.1823,0
40,7,5,4,8,0.7143,0.8,8,1.01,67859000,2.3,13,0.064,0
40,6,4,2,0,0.6667,0.5,4,13.61,7704000,4.2,13,0.0345,0
40,5,2,2,5,0.4,1.0,2,5.06,2805000,4.1,13,0.0394,0
40,15,10,5,8,0.6667,0.5,2,17.43,2175000,4.3,13,0.1108,1
40,2,1,3,0,0.5,3.0,1,7.67,88000,4.1,13,0.0222,0
50,3,1,1,3,0.3333,1.0,2,17.02,373000,4.5,3,0.0647,0
50,36,23,6,19,0.6389,0.2609,7,30.05,1111000,4.2,3,0.5235,1
50,33,19,12,4,0.5758,0.6316,3,1.22,52319000,4.0,3,0.4118,0
21,4,1,1,5,0.25,1.0,2,15.2,1014000,4.7,8,0.089,0
21,0,0,1,3,0.0,0.0,1,16.01,3981000,4.6,8,0.0342,0
21,1,0,3,3,0.0,0.0,1,12.57,4167000,3.8,8,0.0685,0
21,5,2,3,3,0.4,1.5,2,12.41,255000,4.6,8,0.0959,0
