user_id,product_category,age,dominant_gender,dominant_location,total_view,total_click,total_cart,total_wishlist,total_interactions,click_through_rate,cart_rate,unique_brands,avg_price,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,repurchase
U0004,Decor,20,Nam,Hải Phòng,11,4,4,8,31,0.3636,1.0,1,2883000,23.72,2199000,3.4,5,0.2793,0
U0005,Điện tử,19,Nữ,Đà Nẵng,8,5,1,3,17,0.625,0.2,4,7815000,11.24,0,3.6,14,0.0417,0
U0005,Pet care,19,Nữ,Đà Nẵng,5,2,3,9,26,0.4,1.5,2,294000,2.28,287000,,14,0.0637,1
U0005,Thời trang,19,Nữ,Đà Nẵng,5,2,2,5,17,0.4,1.0,4,529000,30.53,367000,4.1,14,0.0417,0
U0005,Sách,19,Nữ,Đà Nẵng,34,21,13,5,80,0.6176,0.619,5,32000,12.87,27000,3.7,14,0.1961,1
U0005,Outdoor,19,Nữ,Đà Nẵng,8,3,3,3,17,0.375,1.0,4,424000,18.11,0,,14,0.0417,0
U0005,Mẹ & Bé,19,Nữ,Đà Nẵng,7,4,5,2,24,0.5714,1.25,2,58000,17.48,47000,4.7,14,0.0588,1
U0005,Luxury,19,Nữ,Đà Nẵng,6,4,0,6,20,0.6667,0.0,8,15538000,6.19,14576000,4.2,14,0.049,0
U0005,Thiết bị văn phòng,19,Nữ,Đà Nẵng,31,17,8,5,68,0.5484,0.4706,8,1711000,14.65,1460000,4.9,14,0.1667,1
U0005,Fitness,19,Nữ,Đà Nẵng,8,3,3,6,24,0.375,1.0,4,588000,18.52,479000,3.6,14,0.0588,0
U0005,Làm đẹp,19,Nữ,Đà Nẵng,18,14,9,7,51,0.7778,0.6429,5,262000,5.81,246000,2.5,14,0.125,0
U0005,Thể thao,19,Nữ,Đà Nẵng,9,4,4,1,19,0.4444,1.0,3,904000,25.18,676000,,14,0.0466,0
U0005,Healthy food,19,Nữ,Đà Nẵng,7,5,2,3,20,0.7143,0.4,5,221000,5.07,209000,4.7,14,0.049,0
U0005,Decor,19,Nữ,Đà Nẵng,3,2,3,2,12,0.6667,1.5,1,124000,10.61,110000,3.8,14,0.0294,0
U0005,Gia dụng,19,Nữ,Đà Nẵng,7,3,1,0,13,0.4286,0.3333,2,3342000,12.25,2932000,,14,0.0319,0
U0006,Gaming,22,Nữ,Hồ Chí Minh,16,9,5,1,33,0.5625,0.5556,1,907000,8.14,833000,,14,0.0835,0
U0006,Làm đẹp,22,Nữ,Hồ Chí Minh,44,18,6,11,81,0.4091,0.3333,4,2410000,7.0,2241000,3.8,14,0.2051,0
U0006,Thể thao,22,Nữ,Hồ Chí Minh,32,15,8,4,65,0.4688,0.5333,8,7465000,26.03,5521000,4.8,14,0.1646,1
U0006,Thời trang,22,Nữ,Hồ Chí Minh,7,2,0,3,15,0.2857,0.0,2,2485000,35.99,1590000,4.4,14,0.038,0
U0006,Healthy food,22,Nữ,Hồ Chí Minh,13,10,6,2,33,0.7692,0.6,5,52000,10.91,46000,,14,0.0835,0
U0006,Gia dụng,22,Nữ,Hồ Chí Minh,2,1,1,2,7,0.5,1.0,2,2739000,10.51,2451000,4.4,14,0.0177,0
U0006,Decor,22,Nữ,Hồ Chí Minh,4,2,3,1,11,0.5,1.5,1,1822000,9.36,1651000,1.5,14,0.0278,0
U0006,Luxury,22,Nữ,Hồ Chí Minh,5,2,4,4,17,0.4,2.0,7,47942000,2.11,46930000,4.8,14,0.043,0
U0006,Điện tử,22,Nữ,Hồ Chí Minh,5,3,2,8,23,0.6,0.6667,5,2265000,7.73,2089000,4.1,14,0.0582,1
U0006,Thiết bị văn phòng,22,Nữ,Hồ Chí Minh,3,1,3,0,9,0.3333,3.0,1,1918000,11.24,1702000,,14,0.0228,0
U0006,Outdoor,22,Nữ,Hồ Chí Minh,18,13,7,5,46,0.7222,0.5385,4,1397000,19.69,1121000,4.6,14,0.1165,0
U0006,Mẹ & Bé,22,Nữ,Hồ Chí Minh,10,6,3,6,30,0.6,0.5,4,3575000,17.14,2962000,3.3,14,0.0759,1
U0006,Fitness,22,Nữ,Hồ Chí Minh,5,2,3,4,16,0.4,1.5,5,483000,16.34,404000,4.5,14,0.0405,0
U0006,Pet care,22,Nữ,Hồ Chí Minh,0,0,2,5,9,0.0,0.0,4,1800000,9.14,1635000,4.6,14,0.0228,0
U0007,Pet care,21,Nữ,Hồ Chí Minh,15,8,5,4,33,0.5333,0.625,5,247000,0.49,245000,4.9,14,0.076,0
U0007,Gia dụng,21,Nữ,Hồ Chí Minh,7,3,4,7,28,0.4286,1.3333,8,6281000,17.33,5192000,,14,0.0645,1
U0007,Luxury,21,Nữ,Hồ Chí Minh,18,9,6,9,45,0.5,0.6667,2,17730000,1.58,17449000,4.5,14,0.1037,0
U0007,Mẹ & Bé,21,Nữ,Hồ Chí Minh,7,5,3,3,20,0.7143,0.6,4,80000,5.5,75000,,14,0.0461,0
U0007,Healthy food,21,Nữ,Hồ Chí Minh,9,5,5,7,27,0.5556,1.0,5,993000,6.05,932000,3.9,14,0.0622,0
U0007,Làm đẹp,21,Nữ,Hồ Chí Minh,1,0,1,2,7,0.0,0.0,4,801000,21.66,627000,3.0,14,0.0161,0
U0007,Gaming,21,Nữ,Hồ Chí Minh,0,0,1,2,3,0.0,0.0,5,10053000,6.44,0,3.7,14,0.0069,0
U0007,Thời trang,21,Nữ,Hồ Chí Minh,18,14,11,1,44,0.7778,0.7857,5,619000,22.99,0,4.5,14,0.1014,0
U0007,Outdoor,21,Nữ,Hồ Chí Minh,13,11,8,6,41,0.8462,0.7273,2,384000,17.94,315000,,14,0.0945,0
U0007,Điện tử,21,Nữ,Hồ Chí Minh,33,16,5,18,75,0.4848,0.3125,10,3115000,10.24,2796000,4.1,14,0.1728,0
U0007,Thiết bị văn phòng,21,Nữ,Hồ Chí Minh,24,11,5,12,60,0.4583,0.4545,3,7931000,17.08,6576000,,14,0.1382,1
U0007,Sách,21,Nữ,Hồ Chí Minh,5,2,0,2,9,0.4,0.0,2,46000,1.13,0,4.6,14,0.0207,0
U0007,Fitness,21,Nữ,Hồ Chí Minh,11,6,3,7,28,0.5455,0.5,8,239000,13.28,207000,3.1,14,0.0645,0
U0007,Decor,21,Nữ,Hồ Chí Minh,4,2,2,3,14,0.5,1.0,3,754000,24.05,572000,4.6,14,0.0323,0
U0008,Mẹ & Bé,40,Nam,Hồ Chí Minh,18,9,2,8,39,0.5,0.2222,2,423000,17.49,349000,,2,0.3305,0
U0008,Thời trang,40,Nam,Hồ Chí Minh,36,14,9,18,79,0.3889,0.6429,8,226000,14.64,192000,,2,0.6695,0
U0009,Mẹ & Bé,31,Nữ,Hồ Chí Minh,13,11,5,8,38,0.8462,0.4545,5,62000,5.66,58000,,8,0.1456,0
U0009,Gia dụng,31,Nữ,Hồ Chí Minh,4,3,1,9,23,0.75,0.3333,3,923000,15.87,776000,,8,0.0881,1
U0009,Luxury,31,Nữ,Hồ Chí Minh,34,12,8,12,77,0.3529,0.6667,5,52273000,5.15,49580000,,8,0.295,1
U0009,Làm đẹp,31,Nữ,Hồ Chí Minh,4,2,3,8,23,0.5,1.5,2,1574000,20.18,1256000,4.1,8,0.0881,1
U0009,Fitness,31,Nữ,Hồ Chí Minh,28,10,6,7,59,0.3571,0.6,11,11409000,21.12,8999000,,8,0.2261,1
U0009,Gaming,31,Nữ,Hồ Chí Minh,8,4,5,5,22,0.5,1.25,5,6689000,11.59,0,4.4,8,0.0843,0
U0009,Thể thao,31,Nữ,Hồ Chí Minh,3,2,4,3,15,0.6667,2.0,1,1026000,22.16,798000,4.2,8,0.0575,0
U0009,Decor,31,Nữ,Hồ Chí Minh,0,0,2,1,4,0.0,0.0,2,1106000,15.32,936000,4.7,8,0.0153,0
U0010,Gaming,61,Nữ,Hồ Chí Minh,25,17,12,17,76,0.68,0.7059,5,9188000,9.59,8306000,,7,0.3551,1
U0010,Thời trang,61,Nữ,Hồ Chí Minh,5,3,0,0,8,0.6,0.0,1,588000,18.44,0,,7,0.0374,0
U0010,Outdoor,61,Nữ,Hồ Chí Minh,14,6,5,1,28,0.4286,0.8333,1,343000,7.04,318000,,7,0.1308,0
U0010,Làm đẹp,61,Nữ,Hồ Chí Minh,4,1,2,1,8,0.25,2.0,2,605000,11.06,0,4.6,7,0.0374,0
U0010,Thiết bị văn phòng,61,Nữ,Hồ Chí Minh,22,8,4,13,52,0.3636,0.5,11,7434000,6.51,6950000,,7,0.243,1
U0010,Gia dụng,61,Nữ,Hồ Chí Minh,12,4,1,5,24,0.3333,0.25,5,1362000,16.0,1144000,4.0,7,0.1121,0
U0010,Thể thao,61,Nữ,Hồ Chí Minh,6,4,2,5,18,0.6667,0.5,1,601000,21.53,471000,3.2,7,0.0841,0
U0011,Pet care,18,Nam,Cần Thơ,5,4,4,2,18,0.8,1.0,2,66000,6.32,61000,,11,0.0412,0
U0011,Sách,18,Nam,Cần Thơ,43,19,11,10,93,0.4419,0.5789,13,37000,1.1,36000,4.2,11,0.2128,1
U0011,Thời trang,18,Nam,Cần Thơ,15,7,4,8,40,0.4667,0.5714,4,318000,37.25,199000,,11,0.0915,1
U0011,Thể thao,18,Nam,Cần Thơ,18,11,4,6,42,0.6111,0.3636,4,3358000,13.12,2917000,,11,0.0961,0
U0011,Fitness,18,Nam,Cần Thơ,27,14,6,15,72,0.5185,0.4286,4,427000,21.18,336000,,11,0.1648,1
U0011,Luxury,18,Nam,Cần Thơ,6,3,0,9,24,0.5,0.0,4,35877000,5.22,34004000,5.0,11,0.0549,1
U0011,Làm đẹp,18,Nam,Cần Thơ,42,29,8,19,109,0.6905,0.2759,12,312000,9.61,282000,4.0,11,0.2494,1
U0011,Thiết bị văn phòng,18,Nam,Cần Thơ,7,3,3,1,16,0.4286,1.0,1,326000,7.91,300000,,11,0.0366,0
U0011,Gaming,18,Nam,Cần Thơ,0,0,3,4,9,0.0,0.0,5,14081000,9.44,12751000,,11,0.0206,0
U0011,Mẹ & Bé,18,Nam,Cần Thơ,2,0,1,5,8,0.0,0.0,1,251000,6.61,0,,11,0.0183,0
U0011,Điện tử,18,Nam,Cần Thơ,0,0,2,1,6,0.0,0.0,1,23985000,8.96,21835000,4.9,11,0.0137,0
U0012,Thời trang,64,Nữ,Cần Thơ,1,0,1,5,10,0.0,0.0,5,546000,21.23,430000,,3,0.1075,0
U0012,Mẹ & Bé,64,Nữ,Cần Thơ,24,10,4,13,54,0.4167,0.4,9,5526000,13.89,4758000,,3,0.5806,0
U0012,Điện tử,64,Nữ,Cần Thơ,12,5,3,4,29,0.4167,0.6,5,8873000,10.28,7960000,3.3,3,0.3118,1
U0013,Thiết bị văn phòng,18,Nữ,Cần Thơ,7,2,2,1,12,0.2857,1.0,1,302000,16.77,0,4.6,3,0.1791,0
U0013,Gaming,18,Nữ,Cần Thơ,7,4,4,5,26,0.5714,1.0,3,6171000,3.33,5965000,,3,0.3881,1
U0013,Luxury,18,Nữ,Cần Thơ,14,8,4,1,29,0.5714,0.5,7,11959000,0.13,11943000,,3,0.4328,0
U0014,Làm đẹp,33,Nam,Đà Nẵng,8,4,1,8,21,0.5,0.25,7,664000,19.05,0,3.9,13,0.0515,0
U0014,Gia dụng,33,Nam,Đà Nẵng,37,19,5,18,86,0.5135,0.2632,4,4545000,13.39,3936000,,13,0.2108,1
U0014,Thời trang,33,Nam,Đà Nẵng,16,12,9,7,46,0.75,0.75,3,2077000,17.74,1708000,4.2,13,0.1127,0
U0014,Decor,33,Nam,Đà Nẵng,14,10,7,14,53,0.7143,0.7,7,1025000,8.64,936000,3.3,13,0.1299,1
U0014,Gaming,33,Nam,Đà Nẵng,9,7,3,4,24,0.7778,0.4286,5,1657000,9.22,1504000,2.8,13,0.0588,0
U0014,Thiết bị văn phòng,33,Nam,Đà Nẵng,1,0,0,2,3,0.0,0.0,4,931000,13.56,0,,13,0.0074,0
U0014,Fitness,33,Nam,Đà Nẵng,7,2,2,2,16,0.2857,1.0,4,1455000,15.62,1227000,4.8,13,0.0392,0
U0014,Luxury,33,Nam,Đà Nẵng,2,1,1,4,9,0.5,1.0,2,58854000,7.15,54645000,3.4,13,0.0221,0
U0014,Outdoor,33,Nam,Đà Nẵng,7,4,5,4,23,0.5714,1.25,1,11978000,13.78,10327000,4.1,13,0.0564,0
U0014,Sách,33,Nam,Đà Nẵng,34,20,6,10,77,0.5882,0.3,9,62000,10.78,55000,3.7,13,0.1887,1
U0014,Mẹ & Bé,33,Nam,Đà Nẵng,4,2,3,4,15,0.5,1.5,2,828000,8.05,761000,3.4,13,0.0368,0
U0014,Thể thao,33,Nam,Đà Nẵng,9,5,3,3,20,0.5556,0.6,6,1184000,12.04,0,,13,0.049,0
U0014,Điện tử,33,Nam,Đà Nẵng,7,3,1,4,15,0.4286,0.3333,1,2519000,0.73,0,4.9,13,0.0368,0
U0015,Thời trang,29,Nam,Hà Nội,7,3,0,2,12,0.4286,0.0,3,2687000,30.93,0,4.3,14,0.024,0
U0015,Sách,29,Nam,Hà Nội,2,1,3,1,10,0.5,3.0,5,147000,11.53,130000,,14,0.02,0
U0015,Pet care,29,Nam,Hà Nội,7,2,3,6,21,0.2857,1.5,8,104000,10.8,92000,3.4,14,0.042,0
U0015,Thiết bị văn phòng,29,Nam,Hà Nội,11,7,3,1,27,0.6364,0.4286,4,2422000,12.85,2110000,4.5,14,0.054,1
U0015,Làm đẹp,29,Nam,Hà Nội,8,3,3,1,17,0.375,1.0,8,2083000,12.19,1829000,4.4,14,0.034,0
U0015,Decor,29,Nam,Hà Nội,7,2,0,4,15,0.2857,0.0,3,1542000,9.88,1389000,4.6,14,0.03,0
U0015,Luxury,29,Nam,Hà Nội,10,3,1,1,16,0.3,0.3333,5,51751000,0.94,51264000,4.9,14,0.032,0
U0015,Mẹ & Bé,29,Nam,Hà Nội,33,11,9,9,73,0.3333,0.8182,8,945000,8.21,867000,4.2,14,0.146,1
U0015,Thể thao,29,Nam,Hà Nội,15,11,2,3,38,0.7333,0.1818,3,2836000,13.26,2459000,2.8,14,0.076,1
U0015,Gia dụng,29,Nam,Hà Nội,40,23,11,19,98,0.575,0.4783,5,1132000,6.7,1056000,3.1,14,0.196,1
U0015,Gaming,29,Nam,Hà Nội,2,1,1,4,10,0.5,1.0,4,4857000,15.63,4097000,3.4,14,0.02,0
U0015,Healthy food,29,Nam,Hà Nội,14,6,4,18,49,0.4286,0.6667,11,1130000,5.73,1065000,,14,0.098,1
U0015,Điện tử,29,Nam,Hà Nội,43,17,5,20,94,0.3953,0.2941,12,11623000,1.05,11500000,4.7,14,0.188,1
U0015,Fitness,29,Nam,Hà Nội,5,3,1,9,20,0.6,0.3333,6,19543000,11.08,17377000,4.5,14,0.04,0
U0016,Mẹ & Bé,37,Nam,Hồ Chí Minh,4,1,3,3,14,0.25,3.0,5,93000,8.2,85000,3.6,15,0.0258,0
U0016,Gia dụng,37,Nam,Hồ Chí Minh,6,3,2,0,14,0.5,0.6667,3,1776000,19.95,1421000,3.6,15,0.0258,0
U0016,Thể thao,37,Nam,Hồ Chí Minh,12,10,6,9,37,0.8333,0.6,1,11997000,26.33,0,4.2,15,0.0683,0
U0016,Outdoor,37,Nam,Hồ Chí Minh,41,14,5,19,81,0.3415,0.3571,14,2550000,20.65,2023000,4.8,15,0.1494,0
U0016,Thiết bị văn phòng,37,Nam,Hồ Chí Minh,33,26,18,17,106,0.7879,0.6923,9,1301000,14.16,1116000,3.5,15,0.1956,1
U0016,Luxury,37,Nam,Hồ Chí Minh,3,1,0,4,11,0.3333,0.0,4,11194000,2.46,10918000,4.8,15,0.0203,0
U0016,Healthy food,37,Nam,Hồ Chí Minh,4,2,2,3,13,0.5,1.0,3,258000,0.33,257000,4.7,15,0.024,0
U0016,Decor,37,Nam,Hồ Chí Minh,33,23,11,8,80,0.697,0.4783,12,989000,13.37,856000,3.5,15,0.1476,1
U0016,Thời trang,37,Nam,Hồ Chí Minh,13,6,3,7,32,0.4615,0.5,1,558000,23.33,427000,3.8,15,0.059,0
U0016,Làm đẹp,37,Nam,Hồ Chí Minh,8,5,2,1,18,0.625,0.4,2,1188000,6.76,1107000,4.4,15,0.0332,0
U0016,Fitness,37,Nam,Hồ Chí Minh,5,2,1,8,17,0.4,0.5,2,1267000,20.0,1013000,4.4,15,0.0314,0
U0016,Sách,37,Nam,Hồ Chí Minh,8,4,3,9,24,0.5,0.75,2,80000,16.74,0,4.2,15,0.0443,0
U0016,Gaming,37,Nam,Hồ Chí Minh,8,6,4,3,22,0.75,0.6667,5,1950000,6.24,1828000,4.0,15,0.0406,0
U0016,Điện tử,37,Nam,Hồ Chí Minh,11,7,5,2,29,0.6364,0.7143,7,2974000,10.29,2667000,4.7,15,0.0535,0
U0016,Pet care,37,Nam,Hồ Chí Minh,18,9,5,7,44,0.5,0.5556,4,1949000,10.58,1742000,4.5,15,0.0812,1
U0017,Outdoor,18,Nam,Hải Phòng,42,25,17,18,104,0.5952,0.68,6,1254000,8.9,1142000,3.0,5,0.3502,0
U0017,Pet care,18,Nam,Hải Phòng,6,2,3,4,16,0.3333,1.5,5,1678000,8.06,1542000,4.8,5,0.0539,0
U0017,Thiết bị văn phòng,18,Nam,Hải Phòng,12,7,5,6,37,0.5833,0.7143,6,9608000,16.72,8001000,3.9,5,0.1246,1
U0017,Làm đẹp,18,Nam,Hải Phòng,26,10,4,11,55,0.3846,0.4,11,200000,9.53,180000,4.0,5,0.1852,0
U0017,Healthy food,18,Nam,Hải Phòng,39,21,7,10,85,0.5385,0.3333,9,1421000,7.63,1312000,,5,0.2862,1
U0018,Gaming,31,Nam,Hà Nội,6,4,5,5,26,0.6667,1.25,3,1264000,5.73,1191000,,6,0.0952,1
U0018,Gia dụng,31,Nam,Hà Nội,10,6,3,3,28,0.6,0.5,4,3972000,8.52,3633000,,6,0.1026,1
U0018,Làm đẹp,31,Nam,Hà Nội,31,11,4,17,73,0.3548,0.3636,6,218000,8.97,198000,3.4,6,0.2674,1
U0018,Luxury,31,Nam,Hà Nội,39,32,22,8,103,0.8205,0.6875,14,5019000,6.98,4668000,,6,0.3773,0
U0018,Thể thao,31,Nam,Hà Nội,0,0,3,4,9,0.0,0.0,1,1212000,23.93,921000,4.7,6,0.033,0
U0018,Fitness,31,Nam,Hà Nội,15,6,3,8,34,0.4,0.5,4,253000,5.0,240000,3.2,6,0.1245,0
U0019,Điện tử,19,Nữ,Cần Thơ,2,1,2,4,9,0.5,2.0,5,3742000,7.04,0,3.8,6,0.0769,0
U0019,Sách,19,Nữ,Cần Thơ,20,10,2,6,40,0.5,0.2,13,364000,2.35,355000,,6,0.3419,0
U0019,Mẹ & Bé,19,Nữ,Cần Thơ,19,7,5,5,44,0.3684,0.7143,9,6579000,11.21,5841000,4.4,6,0.3761,1
U0019,Làm đẹp,19,Nữ,Cần Thơ,2,1,1,1,5,0.5,1.0,5,2621000,7.62,0,,6,0.0427,0
U0019,Pet care,19,Nữ,Cần Thơ,4,1,0,1,9,0.25,0.0,5,173000,7.93,159000,3.1,6,0.0769,0
U0019,Thể thao,19,Nữ,Cần Thơ,2,1,0,5,10,0.5,0.0,5,1128000,22.32,876000,4.8,6,0.0855,0
U0020,Pet care,18,Nam,Đà Nẵng,14,5,2,3,28,0.3571,0.4,5,961000,3.96,922000,2.5,5,0.1217,0
U0020,Gia dụng,18,Nam,Đà Nẵng,45,38,15,11,114,0.8444,0.3947,6,741000,13.84,638000,4.3,5,0.4957,1
U0020,Outdoor,18,Nam,Đà Nẵng,2,1,3,4,10,0.5,3.0,4,3959000,9.39,0,,5,0.0435,0
U0020,Làm đẹp,18,Nam,Đà Nẵng,18,7,2,16,55,0.3889,0.2857,10,1669000,13.39,1445000,4.7,5,0.2391,1
U0020,Thiết bị văn phòng,18,Nam,Đà Nẵng,5,2,2,8,23,0.4,1.0,7,6061000,4.95,5760000,4.3,5,0.1,1
U0021,Pet care,21,Nữ,Hà Nội,5,2,1,0,11,0.4,0.5,1,1578000,7.23,1463000,3.5,4,0.0973,0
U0021,Decor,21,Nữ,Hà Nội,28,10,2,11,61,0.3571,0.2,10,191000,20.41,152000,4.0,4,0.5398,1
U0021,Thời trang,21,Nữ,Hà Nội,13,7,3,9,36,0.5385,0.4286,8,1382000,26.65,1013000,4.8,4,0.3186,0
U0021,Thể thao,21,Nữ,Hà Nội,0,0,2,0,5,0.0,0.0,2,826000,14.98,702000,4.2,4,0.0442,0
U0022,Gaming,34,Nữ,Hồ Chí Minh,7,5,3,1,17,0.7143,0.6,7,1563000,13.37,1354000,3.3,12,0.0659,0
U0022,Thiết bị văn phòng,34,Nữ,Hồ Chí Minh,3,1,0,5,9,0.3333,0.0,3,2702000,10.97,0,4.9,12,0.0349,0
U0022,Thể thao,34,Nữ,Hồ Chí Minh,6,4,4,4,21,0.6667,1.0,2,2088000,17.16,1729000,,12,0.0814,0
U0022,Pet care,34,Nữ,Hồ Chí Minh,5,2,3,2,13,0.4,1.5,1,358000,9.6,323000,,12,0.0504,0
U0022,Sách,34,Nữ,Hồ Chí Minh,10,5,5,8,35,0.5,1.0,2,276000,12.22,242000,4.2,12,0.1357,1
U0022,Điện tử,34,Nữ,Hồ Chí Minh,0,0,1,4,5,0.0,0.0,1,8940000,9.2,0,,12,0.0194,0
U0022,Healthy food,34,Nữ,Hồ Chí Minh,6,2,3,3,17,0.3333,1.5,3,267000,11.75,235000,,12,0.0659,0
U0022,Fitness,34,Nữ,Hồ Chí Minh,10,5,3,1,26,0.5,0.6,8,276000,6.6,257000,,12,0.1008,1
U0022,Decor,34,Nữ,Hồ Chí Minh,19,15,3,7,53,0.7895,0.2,12,260000,9.84,234000,2.2,12,0.2054,1
U0022,Luxury,34,Nữ,Hồ Chí Minh,10,5,2,9,29,0.5,0.4,3,44231000,0.17,44155000,,12,0.1124,0
U0022,Mẹ & Bé,34,Nữ,Hồ Chí Minh,1,0,0,0,2,0.0,0.0,2,100000,7.89,92000,4.5,12,0.0078,0
U0022,Làm đẹp,34,Nữ,Hồ Chí Minh,13,10,6,1,31,0.7692,0.6,1,1049000,13.0,912000,3.4,12,0.1202,0
U0023,Thời trang,19,Nam,Đà Nẵng,5,1,2,2,10,0.2,2.0,5,4457000,42.58,0,,5,0.0833,0
U0023,Điện tử,19,Nam,Đà Nẵng,5,2,1,1,9,0.4,0.5,4,4029000,9.39,0,4.5,5,0.075,0
U0023,Healthy food,19,Nam,Đà Nẵng,5,3,1,0,10,0.6,0.3333,5,1309000,0.93,1296000,1.9,5,0.0833,0
U0023,Decor,19,Nam,Đà Nẵng,31,12,3,12,60,0.3871,0.25,8,1043000,20.79,826000,4.4,5,0.5,0
U0023,Gia dụng,19,Nam,Đà Nẵng,11,8,4,6,31,0.7273,0.5,3,930000,21.74,727000,2.5,5,0.2583,0
U0024,Gia dụng,27,Nữ,Cần Thơ,30,22,6,9,72,0.7333,0.2727,11,3070000,12.0,2701000,4.3,5,0.48,1
U0024,Sách,27,Nữ,Cần Thơ,8,4,0,1,13,0.5,0.0,3,403000,15.33,0,,5,0.0867,0
U0024,Fitness,27,Nữ,Cần Thơ,18,9,7,4,40,0.5,0.7778,2,221000,14.98,187000,4.7,5,0.2667,0
U0024,Healthy food,27,Nữ,Cần Thơ,4,2,1,5,15,0.5,0.5,2,69000,3.29,66000,3.6,5,0.1,0
U0024,Pet care,27,Nữ,Cần Thơ,4,2,0,4,10,0.5,0.0,1,125000,7.15,0,,5,0.0667,0
U0025,Thiết bị văn phòng,18,Nữ,Hồ Chí Minh,29,15,6,15,74,0.5172,0.4,13,2657000,9.83,2395000,2.1,8,0.2937,1
U0025,Thể thao,18,Nữ,Hồ Chí Minh,13,5,3,3,26,0.3846,0.6,4,357000,11.23,316000,,8,0.1032,0
U0025,Mẹ & Bé,18,Nữ,Hồ Chí Minh,15,7,5,15,51,0.4667,0.7143,8,458000,15.98,384000,4.2,8,0.2024,1
U0025,Outdoor,18,Nữ,Hồ Chí Minh,3,1,0,1,6,0.3333,0.0,4,4528000,10.38,4057000,3.2,8,0.0238,0
U0025,Fitness,18,Nữ,Hồ Chí Minh,16,10,6,7,39,0.625,0.6,3,8034000,18.08,0,4.2,8,0.1548,0
U0025,Pet care,18,Nữ,Hồ Chí Minh,13,10,7,4,38,0.7692,0.7,1,229000,6.2,214000,4.3,8,0.1508,0
U0025,Healthy food,18,Nữ,Hồ Chí Minh,0,0,2,4,8,0.0,0.0,4,343000,9.39,310000,4.1,8,0.0317,0
